,Title,Album details,CAN[9],AUS[11],FRA[20],IRE[13],NZ[21],SWE[22],UK[23],US[6],USR&B/HH[24],USRap[25],Sales,Certifications
0,Thank Me Later,"Released: June 15, 2010[26] Label: Young Money, Cash Money, Universal Motown Formats: CD, digital download, streaming",1,81,117,32,35,—,15,1,1,1,"CAN: 176,000[27] UK: 219,053[28] US: 1,830,000[29]",MC: 2× Platinum[10] BPI: Gold[30] RIAA: 3× Platinum[7]
1,Take Care,"Released: November 15, 2011[31] Label: Young Money, Cash Money, Republic Formats: CD, LP, digital download, streaming",1,15,32,30,19,—,5,1,1,1,"CAN: 262,000[27] UK: 400,450[28] US: 2,338,000[29]",MC: 4× Platinum[10] BPI: 2× Platinum[30] RIAA: 6× Platinum[7]
2,Nothing Was the Same,"Released: September 24, 2013[32] Label: OVO, Young Money, Cash Money, Republic Formats: CD, LP, digital download, streaming",1,2,11,4,4,10,2,1,1,1,"CAN: 201,000[27] UK: 256,013[28] US: 1,783,000[29]",MC: 3× Platinum[10] ARIA: Gold[33] GLF: Gold[34] BPI: Platinum[30] RIAA: 4× Platinum[7]
3,Views,"Released: April 29, 2016[35] Label: Young Money, Cash Money, Republic Formats: CD, LP, digital download, streaming",1,1,4,2,1,2,1,1,1,1,"UK: 387,000[36] US: 1,739,000[A]",MC: 6× Platinum[10] ARIA: Gold[40] GLF: 2× Platinum[34] BPI: 2× Platinum[30] RIAA: 6× Platinum[7] SNEP: 2× Platinum[41]
4,Scorpion,"Released: June 29, 2018[42] Label: Young Money, Cash Money, Republic Formats: CD, LP, digital download, streaming",1,1,3,1,1,1,1,1,1,1,"US: 407,600[B][44][45]",MC: 2× Platinum[10] ARIA: 2× Platinum[46] GLF: Platinum[34] BPI: 2× Platinum[30] RIAA: 5× Platinum[7] RMNZ: Platinum[47] SNEP: Platinum[41]
5,Certified Lover Boy,"Released: September 3, 2021[48] Label: OVO, Republic Formats: Digital download, streaming",1,1,3,1,1,1,1,1,1,1,,ARIA: Gold[49] BPI: Gold[30] RMNZ: Platinum[50] SNEP: Gold[41]
6,"Honestly, Nevermind","Released: June 17, 2022 Label: OVO, Republic Formats: Digital download, streaming",1,2,6,2,2,2,2,1,1,1,,BPI: Silver[30]
7,Her Loss(with 21 Savage),"Released: November 4, 2022 Label: OVO, Slaughter Gang, Republic, Epic Format: Digital download, streaming",1,2,10,2,2,2,1,1,1,1,,BPI: Silver[30] RMNZ: Gold[51]
8,We Are Young Money(as part of Young Money),"Released: December 21, 2009 Label: Young Money, Cash Money, Republic Formats: CD, digital download, streaming",—,,,,,,—,9,3,1,"US: 142,000[52]",RIAA: Platinum[53]
9,Rise of an Empire(as part of Young Money),"Released: March 11, 2014 Label: Young Money, Cash Money, Republic Formats: CD, digital download, streaming",24,,,,,,148,7,4,2,"US: 53,000[54]",
10,Care Package,"Released: August 2, 2019 Label: OVO, Republic Formats: Digital download, streaming",1,,,,,,4,1,1,1,"US: 16,000[55]",BPI: Silver[30]
12,Room for Improvement,"Released: February 14, 2006 (US)[56] Label: All Things Fresh Formats: CD, digital download",—,—,—,—,—,—,—,—,—,—,,
13,Comeback Season,"Released: September 1, 2007 (US)[57] Label: OVO Formats: CD, digital download",—,—,—,—,—,—,—,—,—,—,,
14,So Far Gone,"Released: February 13, 2009 Label: OVO Formats: CD, digital download, streaming",7,34,—,57,—,—,21,5,1,1,"US: 7,000[58]",
15,If You're Reading This It's Too Late,"Released: February 13, 2015[59] Label: Young Money, Cash Money, Republic Formats: CD, LP, digital download, streaming",1,2,55,13,3,16,3,1,1,1,"CAN: 109,000[27] UK: 100,000[30] US: 1,233,000[29]",MC: 2× Platinum[10] BPI: Platinum[30] RIAA: 3× Platinum[7]
16,What a Time to Be Alive(with Future),"Released: September 20, 2015[60] Label: Young Money, Cash Money, Republic, A1, Freebandz, Epic Format: LP, digital download, streaming",1,4,34,30,8,36,6,1,1,1,"US: 564,000[29]",RIAA: 2× Platinum[7] BPI: Gold[30] MC: Platinum[10]
17,More Life,"Released: March 18, 2017 Label: Young Money, Cash Money, Republic Format: Digital download, streaming",1,2,5,2,3,3,2,1,1,1,"US: 376,000[C]",MC: 2× Platinum[10] BPI: 2× Platinum[30] RIAA: 3× Platinum[7] RMNZ: Gold[62] SNEP: Platinum[41]
18,Dark Lane Demo Tapes,"Released: May 1, 2020 Label: OVO, Republic Format: Digital download, streaming",1,1,2,1,1,2,1,2,1,1,"US: 223,000[63]",BPI: Gold[30]
