,title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id
0,0 to 100 / The Catch Up,#FYM12,2014-06-01,[],"['Chester Hansen', 'Vinylz', 'Ging', 'Boi-1da', '40', 'Nineteen85']","['Chester Hansen', 'Ging', 'Nineteen85', 'Drake', 'Boi-1da', '40', 'Vinylz']",156640,914226.0
1,10 Bands,If You’re Reading This It’s Too Late,2015-02-13,[],"['Ging', 'Sevn Thomas', 'Boi-1da']","['Sevn Thomas', 'Ging', 'Boi-1da', 'Quentin Miller', 'Drake']",703738,119674.0
2,1Xtra Freestyle,Tim Westwood I Freestyles,2010-06-11,[],['Tim Westwood'],['Drake'],421444,883007.0
3,2,<single>,,[],[],[],2457033,
4,2011 Juno Awards In Toronto,<single>,2011-03-26,[],[],[],214614,
5,2016 MTV VMAs Vanguard Award Intro for Rihanna,<single>,2016-08-28,[],[],['Drake'],2846923,
6,24,<single>,,[],"['Kanye West', 'Ojivolta', 'Warryn Campbell', 'Cory Henry', 'Brian Miller']","['Warryn Campbell', 'Cory Henry', 'Brian Miller', 'Mark Williams', 'Raul Cubina', 'Drake', 'Consequence', 'KayCyy', 'Kanye West', 'Malik Yusef', 'Al Be Back']",7475353,
7,305 to My City,Nothing Was the Same,2013-09-24,['Detail'],"['The Order', 'Detail']","['Sool Got Hits', 'Soko7', 'Dre Moon', 'Drake', 'Detail']",217281,40475.0
8,30 for 30 Freestyle,What a Time To Be Alive,2015-09-20,[],['40'],"['40', 'Drake']",2311376,131405.0
9,30 Hours (Reference),<single>,,[],[],['Drake'],6168379,
10,4422,More Life,2017-03-18,['Sampha'],['FrancisGotHeat'],"['FrancisGotHeat', 'Sampha']",3028680,286515.0
11,4PM in Calabasas,Care Package,2016-06-04,[],"['Allen Ritter', 'Ging', 'Vinylz']","['Ronnie Wilson', 'Matthew Wilder', 'Vinylz', 'Oliver Scott', 'Sylvia Robinson', 'Grandmaster Melle Mel', 'Duke Bootee', 'Ging', 'Clifton ‘’Jiggs’’ Chase', 'Brian Alexander Morgan', 'Greg Prestopino', 'Allen Ritter', 'Drake']",2489756,549691.0
12,5AM in Toronto,Care Package,2013-03-07,[],"['Allen Ritter', 'Nikhil Seetharam', 'Vinylz', 'Boi-1da']","['Bobbie Gentry', 'Allen Ritter', 'Boi-1da', 'Vinylz', 'Nikhil Seetharam', 'Drake']",124418,549691.0
13,6 God,If You’re Reading This It’s Too Late,2014-10-25,[],"['Ken Lewis', 'Boi-1da', 'Syk Sense']","['Ken Lewis', 'Syk Sense', 'Boi-1da', 'Drake']",500858,119674.0
14,6 Man,If You’re Reading This It’s Too Late,2015-02-13,[],"['Daxz', '40']","['Daxz', 'The Roots', 'Jill Scott', '40', 'Quentin Miller', 'Drake', '?uestlove', 'Black Thought']",703756,119674.0
15,6PM in New York,If You’re Reading This It’s Too Late,2015-02-13,[],"['Sevn Thomas', 'Ging', 'Boi-1da']","['Sevn Thomas', 'Boi-1da', 'Drake', 'Ging', 'Kenza Samir']",703730,119674.0
16,7am On Bridle Path,Certified Lover Boy,2021-09-03,[],"['Dude Clayy', 'Maneesh', '\u200bknd', 'Dez Wright', 'Cardo']","['\u200bknd', 'Cardo', 'Dez Wright', 'Maneesh', 'Drake']",7165567,585647.0
17,8 Out of 10,Scorpion,2018-06-29,[],"['OB O’Brien', 'Boi-1da', 'Jahaan Sweet']","['The Notorious B.I.G.', 'Jeff Lorber', 'James lloyd', 'Andreao “Fanatic” Heard', 'Arthur “T-Boy” Ross', 'Leon Ware', 'Abrim Tilmon', 'OB O’Brien', 'Jahaan Sweet', 'Boi-1da', 'Drake']",3807743,420582.0
18,9,Views,2016-04-29,[],"['40', 'Brian Alexander Morgan', 'Boi-1da']","['Drake', '40', 'Boi-1da', 'Brian Alexander Morgan', 'David Harrisingh', 'Craig Harrisingh', 'Serani', 'Mavado']",2463393,132506.0
19,9AM in Dallas,Thank Me Later,2010-06-15,[],['Boi-1da'],['Drake'],514,2630.0
20,Aaronredbaron CTT Low freestyle,<single>,2017-07-07,['Aaronredbaron CTT'],['Aaronredbaron CTT'],['Drake'],7737003,
21,About the Game,Room for Improvement,2006-02-14,['Trey Songz'],['Boi-1da'],"['Boi-1da', 'Trey Songz', 'Drake']",201539,2625.0
22,Acapella,Drake Demo Disk,2006-01-01,[],['Boi-1da'],"['Boi-1da', 'Drake']",4427020,516437.0
23,After Dark,Scorpion,2018-06-29,"['Ty Dolla $ign', 'Static Major']","['Joe Capo Kent', 'Shaun Harris', 'Static Major', '40']","['40', 'Joe Capo Kent', 'Melvin “Wah Wah” Watson', 'Maxwell', 'Ty Dolla $ign', 'Static Major', 'Drake']",3807744,420582.0
24,A Keeper,"Honestly, Nevermind",2022-06-17,[],"['&ME', 'Wondra030', 'Rampa']",['Drake'],8110886,880669.0
25,A Little Favour (GQ Freestyle),<single>,2012-04-13,[],[],['Drake'],68760,
26,All Me,Nothing Was the Same,2013-09-24,"['2 Chainz', 'Big Sean']","['40', 'KeY Wane']","['Ice-T', 'DJ Aladdin', 'George Clinton', 'Maurice Yvain', 'Drake', 'Anthony Palman', '2 Chainz', 'Big Sean', 'Jacques Charles', 'KeY Wane', 'Albert Willemetz']",196551,40475.0
27,All This Love,Room for Improvement,2006-02-14,['Voyce'],['Exchange Student'],"['Exchange Student', 'Voyce', 'Drake']",18064,2625.0
28,Alton Sterling Statement,<single>,2016-07-06,[],[],[],2814812,
29,AM 2 PM,Room for Improvement,2006-02-14,['Nickelus F'],['Nickelus F'],"['Nickelus F', 'Drake']",2751,2625.0
30,A Milli Freestyle,<single>,,[],['Bangladesh'],['Drake'],79011,
31,A Night Off,So Far Gone,2009-02-13,['Lloyd'],"['DJ Anuedy', '40']","['Drake', 'Lloyd', '40', 'DJ Anuedy', 'JAY-Z', 'Beanie Sigel', 'Ronald Isley', 'Ernie Isley', 'Marvin Isley', 'O’Kelly Isley', 'Rudolph Isley', 'Chris Jasper']",5140,2627.0
32,Apology for Autism Line,<single>,,[],[],[],193900,
